feature,jeyaraman_importance,appenzeller_importance,hall_importance
Semantic Similari...,0.0,0.0,4.636449092719444
In Degree,4.877190346115595,0.0,0.0
Relevant Ratio,9.617812990484776,0.0,0.0
Max Semantic Simi...,0.0,11.611236660147691,5.90494634664325
Std Neighb. Degree,0.0,13.951020633207674,0.0
Degree,14.299420248310737,0.0,7.25369296583592
Pagerank,16.781728498491432,8.760307172457013,0.0
Closeness,22.98210203920742,12.699534140537287,0.0
Max Neighb. Degree,0.0,11.585101432894342,23.111887414923743
Semantic Isolatio...,0.0,0.0,41.80337075099837
