feature,importance
min_distance_to_relevant,0.005731413909362828
out_degree,0.009426178800149275
betweenness,0.010087140802496468
in_degree,0.010986677961144433
degree,0.016775650280056092
eigenvector,0.01786061625169723
mean_neighbor_degree,0.02465242110166638
relevant_neighbors,0.02816566716797361
relevant_ratio,0.02837280135103274
semantic_similarity_to_relevant,0.04085650034812128
title_length,0.05287461557987767
closeness,0.06366748966666576
semantic_isolation_score,0.0649790609191943
max_semantic_similarity,0.06573093477991346
clustering,0.0696353162108208
std_neighbor_degree,0.10033285705395442
pagerank,0.11437824435767681
max_neighbor_degree,0.2754864134581964
