feature,importance
out_degree,0.0010844989965641844
in_degree,0.002028000340450842
betweenness,0.0024939816330251724
min_distance_to_relevant,0.004250901694681165
mean_neighbor_degree,0.004578009777002946
pagerank,0.006812211785309861
eigenvector,0.010136899144823689
relevant_ratio,0.015347914302030266
title_length,0.01595069413777973
relevant_neighbors,0.018929970409930632
std_neighbor_degree,0.023543482561629452
closeness,0.028407269573779523
clustering,0.03944122921766954
degree,0.07242529588854286
semantic_similarity_to_relevant,0.09334390988535807
max_semantic_similarity,0.10768213482816995
max_neighbor_degree,0.23119684958349584
semantic_isolation_score,0.32234674623975607
