feature,importance
semantic_isolation_score,0.0
semantic_similarity_to_relevant,0.0
max_semantic_similarity,0.0
min_distance_to_relevant,0.00808919773715112
out_degree,0.009652558057503684
relevant_neighbors,0.010123633658540646
in_degree,0.01040745399747008
betweenness,0.013204947499196588
std_neighbor_degree,0.019344890799610156
eigenvector,0.02827908211218809
title_length,0.030559805068239076
clustering,0.0352866819729042
max_neighbor_degree,0.049452676135925744
relevant_ratio,0.06517031637148238
mean_neighbor_degree,0.06654510419896488
degree,0.15229939376796686
pagerank,0.1736554577543856
closeness,0.327928800868471
