feature,importance
min_distance_to_relevant,0.0063355885438532555
in_degree,0.008838780851731646
out_degree,0.010421766766954414
betweenness,0.01133103169363821
degree,0.012996207884068554
relevant_neighbors,0.0163732781871503
eigenvector,0.021416006840853187
relevant_ratio,0.02490090642919707
mean_neighbor_degree,0.02996819950413578
clustering,0.031169194521447063
semantic_similarity_to_relevant,0.05418731325730202
semantic_isolation_score,0.0579855482402287
pagerank,0.06560775605720216
title_length,0.08042077035195641
max_semantic_similarity,0.10436668959799364
closeness,0.11444355206258078
std_neighbor_degree,0.14267925904630044
max_neighbor_degree,0.2065581501634063
