feature,importance
out_degree,0.0031251102443334675
betweenness,0.0037613923159293926
in_degree,0.0049533479518454986
mean_neighbor_degree,0.00885348615606443
std_neighbor_degree,0.017113598624363336
eigenvector,0.017427386552762766
min_distance_to_relevant,0.019532085999071545
relevant_ratio,0.02095394233815628
relevant_neighbors,0.021697876730363077
pagerank,0.02785151870837758
closeness,0.043832754685246104
semantic_isolation_score,0.045926731700028776
semantic_similarity_to_relevant,0.048267571546468144
degree,0.05362050887624408
title_length,0.06768159664472947
max_neighbor_degree,0.07560670818077066
max_semantic_similarity,0.1568604117186727
clustering,0.3629339710265728
