feature,importance
semantic_isolation_score,0.0
semantic_similarity_to_relevant,0.0
max_semantic_similarity,0.0
out_degree,0.0081228919010221
min_distance_to_relevant,0.011196559724666778
relevant_neighbors,0.01606657492888214
std_neighbor_degree,0.017445322849231844
betweenness,0.021452381368300286
eigenvector,0.022226016829482276
in_degree,0.03755802187734548
clustering,0.03804664584515164
title_length,0.03976039107168781
relevant_ratio,0.05254117982866023
max_neighbor_degree,0.058866442299128484
mean_neighbor_degree,0.08314721642792568
degree,0.1490476783192628
pagerank,0.14980462342440418
closeness,0.29471805330484846
