record_id,openalex_id,doi,title,abstract,label_included
18,https://openalex.org/W2050979399,https://doi.org/10.1016/j.spinee.2013.09.031,"Intraoperative systemic infusion of lidocaine reduces postoperative pain after lumbar surgery: a double-blinded, randomized, placebo-controlled clinical trial","Analgesic effect of lidocaine infusion on postoperative pain.The aim of this study was to evaluate the analgesic effect of lidocaine infusion on postoperative pain after lumbar microdiscectomy.This study used a prospective, randomized, double-blinded, and placebo-controlled clinical trial.Fifty-one patients participated in this randomized, double-blinded study.The primary outcome was the visual analog scale (VAS) (0-100 mm) pain score at 4 hours after surgery. The secondary outcomes were the VAS pain score at 2, 8, 12, 24, and 48 hours after surgery, the frequency with which patients pushed the button (FPB) of the patient-controlled analgesia system, and the fentanyl consumption at 2, 4, 8, 12, 24, and 48 hours after surgery. Other outcomes were satisfaction scores regarding pain control and the overall recovery process, incidence of postoperative nausea and vomiting (PONV), and length of hospital stay (HS).Preoperatively and throughout the surgery, Group L received intravenous lidocaine infusion (a 1.5-mg/kg bolus followed by a 2-mg/kg/h infusion until the end of the surgical procedure) and Group C received normal saline infusion as a placebo.The VAS scores and fentanyl consumption were significantly lower in Group L compared with Group C except at 48 h after surgery (p<.05). Total fentanyl consumption, total FPB, length of HS, and satisfaction scores were also significantly lower in Group L compared with Group C (p<.05).Intraoperative systemic infusion of lidocaine decreases pain perception during microdiscectomy, thus reducing the consumption of opioid and the severity of postoperative pain. This effect contributes to reduce the length of HS.",1
28,https://openalex.org/W1987205168,https://doi.org/10.1007/s00586-014-3748-2,IPD without bony decompression versus conventional surgical decompression for lumbar spinal stenosis: 2-year results of a double-blind randomized controlled trial,"Interspinous process devices (IPDs) are implanted to treat patients with intermittent neurogenic claudication (INC) based on lumbar spinal stenosis. It is hypothesized that patients with lumbar spinal stenosis treated with IPD have a faster short-term recovery, an equal outcome after 2 years and less back pain compared with bony decompression.A randomized design with variable block sizes was used, with allocations stratified according to center. Allocations were stored in prepared opaque, coded and sealed envelopes, and patients and research nurses were blind throughout the follow-up. Five neurosurgical centers (including one academic and four secondary level care centers) included participants. 211 participants were referred to the Leiden-The Hague Spine Prognostic Study Group. 159 participants with INC based on lumbar spinal stenosis at one or two levels with an indication for surgery were randomized into two groups. Patients and research nurses were blinded for the allocated treatment throughout the study period. 80 participants received an IPD and 79 participants underwent spinal bony decompression. The primary outcome at long-term (2-year) follow-up was the score for the Zurich Claudication Questionnaire. Repeated measurement analyses were applied to compare outcomes over time.At two years, the success rate according to the Zurich Claudication Questionnaire for the IPD group [69 % (95 % CI 57-78 %)] did not show a significant difference compared with standard bony decompression [60 % (95 % CI 48-71 %) p value 0.2]. Reoperations, because of absence of recovery, were indicated and performed in 23 cases (33 %) of the IPD group versus 6 (8 %) patients of the bony decompression group (p < 0.01). Furthermore, long-term VAS back pain was significantly higher [36 mm on a 100 mm scale (95 % CI 24-48)] in the IPD group compared to the bony decompression group [28 mm (95 % CI 23-34) p value 0.04].This double-blinded study could not confirm the advantage of IPD without bony decompression over conventional 'simple' decompression, two years after surgery. Moreover, in the IPD treatment arm, the reoperation rate was higher and back pain was even slightly more intense compared to the decompression treatment arm.",1
1586,https://openalex.org/W2023235643,https://doi.org/10.1136/bmj.f6415,Interspinous process device versus standard conventional surgical decompression for lumbar spinal stenosis: randomized controlled trial,"<b>Objective</b> To assess whether interspinous process device implantation is more effective in the short term than conventional surgical decompression for patients with intermittent neurogenic claudication due to lumbar spinal stenosis. <b>Design</b> Randomized controlled trial. <b>Setting</b> Five neurosurgical centers (including one academic and four secondary level care centers) in the Netherlands. <b>Participants</b> 203 participants were referred to the Leiden-The Hague Spine Prognostic Study Group between October 2008 and September 2011; 159 participants with intermittent neurogenic claudication due to lumbar spinal stenosis at one or two levels with an indication for surgery were randomized. <b>Interventions</b> 80 participants received an interspinous process device and 79 participants underwent spinal bony decompression. <b>Main outcome measures</b> The primary outcome at short term (eight weeks) and long term (one year) follow-up was the Zurich Claudication Questionnaire score. Repeated measurements were made to compare outcomes over time. <b>Results</b> At eight weeks, the success rate according to the Zurich Claudication Questionnaire for the interspinous process device group (63%, 95% confidence interval 51% to 73%) was not superior to that for standard bony decompression (72%, 60% to 81%). No differences in disability (Zurich Claudication Questionnaire; P=0.44) or other outcomes were observed between groups during the first year. The repeat surgery rate in the interspinous implant group was substantially higher (n=21; 29%) than that in the conventional group (n=6; 8%) in the early post-surgical period (P&lt;0.001). <b>Conclusions</b> This double blinded study could not confirm the hypothesized short term advantage of interspinous process device over conventional “simple” decompression and even showed a fairly high reoperation rate after interspinous process device implantation. <b>Trial registration</b> Dutch Trial Register NTR1307.",1
111,https://openalex.org/W2147205827,https://doi.org/10.1186/1471-2474-11-100,The Felix-trial. Double-blind randomization of interspinous implant or bony decompression for treatment of spinal stenosis related intermittent neurogenic claudication,"Decompressive laminotomy is the standard surgical procedure in the treatment of patients with canal stenosis related intermittent neurogenic claudication. New techniques, such as interspinous process implants, claim a shorter hospital stay, less post-operative pain and equal long-term functional outcome. A comparative (cost-) effectiveness study has not been performed yet. This protocol describes the design of a randomized controlled trial (RCT) on (cost-) effectiveness of the use of interspinous process implants versus conventional decompression surgery in patients with lumbar spinal stenosis.Patients (age 40-85) presenting with intermittent neurogenic claudication due to lumbar spinal stenosis lasting more than 3 months refractory to conservative treatment, are included. Randomization into interspinous implant surgery versus bony decompression surgery will take place in the operating room after induction of anesthesia. The primary outcome measure is the functional assessment of the patient measured by the Zurich Claudication Questionnaire (ZCQ), at 8 weeks and 1 year after surgery. Other outcome parameters include perceived recovery, leg and back pain, incidence of re-operations, complications, quality of life, medical consumption, absenteeism and costs. The study is a randomized multi-institutional trial, in which two surgical techniques are compared in a parallel group design. Patients and research nurses are kept blinded of the allocated treatment during the follow-up period of 1 year.Currently decompressive laminotomy is the golden standard in the surgical treatment of lumbar spinal stenosis. Whether surgery with interspinous implants is a reasonable alternative can be determined by this trial.Dutch Trial register number: NTR1307.",1
2581,https://openalex.org/W2092688813,https://doi.org/10.1097/brs.0b013e31828ba413,X-Stop Versus Decompressive Surgery for Lumbar Neurogenic Intermittent Claudication,"Prospective randomized controlled study.To compare the outcome of indirect decompression by means of the X-Stop (Medtronics Inc., Minneapolis, MN) implant with conventional decompression in patients with neurogenic intermittent claudication due to lumbar spinal stenosis.Decompression is currently the ""gold standard"" for lumbar spinal stenosis but is afflicted with complications and a certain number of dissatisfied patients. Interspinous implants have been on the market for more than 10 years, but no prospective study comparing its outcome with decompression has been performed.After power calculation, 100 patients were included: 50 in the X-Stop group and 50 in the decompression group. Patients with symptomatic 1- or 2-level lumbar spinal stenosis and neurogenic claudication relieved on flexion were included. X-Stop operations were performed under local anesthesia.The mean patient age was 69 (49-89) years, and the male/female distribution was 56/44. Minimal dural sac area was in all cases except two 80 mm or less.The noninferiority hypothesis included 6, 12, and 24 months of follow-up, and included. intention-to-treat as well as as-treated analyses.The primary outcome meansure was the Zürich Claudication Questionnaire, and the secondary outcome measures was the visual analogue scale pain, Short-Form 36 (SF-36), complications, and reoperations.The primary and secondary outcome measures of patients in both groups improved significantly. The results were similar at 6, 12, and 24 months and at no time point could any statistical difference between the 2 types of surgery be identified. Three patients (6%) in the decompression group underwent further surgery, compared with 13 patients (26%) in the X-Stop group (P = 0.04). Results were identical in intention-to-treat and as-treated analyses.For spinal stenosis with neurogenic claudication, decompressive surgery as well as X-Stop are appropriate procedures. Similar results were achieved in both groups, however, with a higher number of reoperations in the X-Stop group. Patients having X-Stop removal and decompression experienced results similar to those randomized to primary decompression.1.",1
804,https://openalex.org/W1973677134,https://doi.org/10.1097/01.brs.0000166618.42749.d1,"A Multicenter, Prospective, Randomized Trial Evaluating the X STOP Interspinous Process Decompression System for the Treatment of Neurogenic Intermittent Claudication","A randomized, controlled, prospective multicenter trial comparing the outcomes of neurogenic intermittent claudication (NIC) patients treated with the interspinous process decompression system (X STOP) with patients treated nonoperatively.To determine the safety and efficacy of the X STOP interspinous implant.Patients suffering from NIC secondary to lumbar spinal stenosis have been limited to a choice between nonoperative therapies and decompressive surgical procedures, with or without fusion. The X STOP was developed to provide an alternative therapeutic treatment. METHODS.: 191 patients were treated, 100 in the X STOP group and 91 in the control group. The primary outcomes measure was the Zurich Claudication Questionnaire, a patient-completed, validated instrument for NIC.At every follow-up visit, X STOP patients had significantly better outcomes in each domain of the Zurich Claudication Questionnaire. At 2 years, the X STOP patients improved by 45.4% over the mean baseline Symptom Severity score compared with 7.4% in the control group; the mean improvement in the Physical Function domain was 44.3% in the X STOP group and -0.4% in the control group. In the X STOP group, 73.1% patients were satisfied with their treatment compared with 35.9% of control patients.The X STOP provides a conservative yet effective treatment for patients suffering from lumbar spinal stenosis. In the continuum of treatment options, the X STOP offers an attractive alternative to both conservative care and decompressive surgery.",1
1935,https://openalex.org/W2104833209,https://doi.org/10.1007/s00586-003-0581-4,A prospective randomized multi-center study for the treatment of lumbar spinal stenosis with the X STOP interspinous implant: 1-year results,"Patients suffering from neurogenic intermittent claudication secondary to lumbar spinal stenosis have historically been limited to a choice between a decompressive laminectomy with or without fusion or a regimen of non-operative therapies. The X STOP Interspinous Process Distraction System (St. Francis Medical Technologies, Concord, Calif.), a new interspinous implant for patients whose symptoms are exacerbated in extension and relieved in flexion, has been available in Europe since June 2002. This study reports the results from a prospective, randomized trial of the X STOP conducted at nine centers in the U.S. Two hundred patients were enrolled in the study and 191 were treated; 100 received the X STOP and 91 received non-operative therapy (NON OP) as a control. The Zurich Claudication Questionnaire (ZCQ) was the primary outcomes measurement. Validated for lumbar spinal stenosis patients, the ZCQ measures physical function, symptom severity, and patient satisfaction. Patients completed the ZCQ upon enrollment and at follow-up periods of 6 weeks, 6 months, and 1 year. Using the ZCQ criteria, at 6 weeks the success rate was 52% for X STOP patients and 10% for NON OP patients. At 6 months, the success rates were 52 and 9%, respectively, and at 1 year, 59 and 12%. The results of this prospective study indicate that the X STOP offers a significant improvement over non-operative therapies at 1 year with a success rate comparable to published reports for decompressive laminectomy, but with considerably lower morbidity.",1
2088,https://openalex.org/W2312317865,https://doi.org/10.1097/brs.0000000000000735,Superion Interspinous Process Spacer for Intermittent Neurogenic Claudication Secondary to Moderate Lumbar Spinal Stenosis,"Prospective, multicenter, randomized, controlled, investigational device exemption noninferiority trial.To determine 2-year outcomes in patients with intermittent neurogenic claudication secondary to moderate lumbar spinal stenosis (LSS) who were treated with the Superion interspinous process spacer.Interspinous spacers are a less-invasive treatment alternative compared with surgical decompression for patients with LSS unresponsive to conservative care. High-quality comparative data with these devices are lacking.Patients presenting with intermittent neurogenic claudication secondary to moderate LSS who failed at least 6 months of nonsurgical management were randomly allocated to treatment with the Superion spacer or a control spacer (X-Stop) and followed for 2 years.A total of 391 randomized patients were implanted with Superion (n = 190) or control (n = 201) spacers at 29 sites in the United States between August 2008 and December 2011. Implants were successfully implanted in 99.5% of patients with Superion and 99.0% of control patients. The primary composite endpoint of this study was met, which demonstrated that the Superion spacer was noninferior to the X-Stop spacer. Leg pain, the predominant patient complaint, decreased in severity by 70% during 2 years in each group. Most (77%) patients achieved leg pain clinical success (improvement ≥20 mm) at 2 years. Back pain clinical success (improvement ≥20 mm) was 68%, with no differences between groups. Oswestry Disability Index clinical success (≥15% point improvement) was achieved in 65% of patients. The rates of complications and reoperations were similar between groups.The Superion interspinous process spacer relieves symptoms of intermittent neurogenic claudication secondary to moderate LSS in the majority of patients through 2 years.2.",1
525,https://openalex.org/W2610833563,https://doi.org/10.1016/j.wneu.2017.04.163,Superion Interspinous Spacer Treatment of Moderate Spinal Stenosis: 4-Year Results,"To determine 4-year clinical outcomes in patients with moderate lumbar spinal stenosis treated with minimally invasive stand-alone interspinous process decompression using the Superion device.The 4-year Superion data were extracted from a randomized, controlled Food and Drug Administration investigational device exemption trial. Patients with intermittent neurogenic claudication relieved with back flexion who failed at least 6 months of nonsurgical management were enrolled. Outcomes included Zurich Claudication Questionnaire (ZCQ) symptom severity (ss), physical function (pf) and patient satisfaction (ps) subdomains, leg and back pain visual analog scale (VAS), and Oswestry Disability Index (ODI). At 4-year follow-up, 89 of the 122 patients (73%) provided complete clinical outcome evaluations.At 4 years after index procedure, 75 of 89 patients with Superion (84.3%) demonstrated clinical success on at least 2 of 3 ZCQ domains. Individual component responder rates were 83% (74/89), 79% (70/89), and 87% (77/89) for ZCQss, ZCQpf, and ZCQps; 78% (67/86) and 66% (57/86) for leg and back pain VAS; and 62% (55/89) for ODI. Patients with Superion also demonstrated percentage improvements over baseline of 41%, 40%, 73%, 69%, and 61% for ZCQss, ZCQpf, leg pain VAS, back pain VAS, and ODI. Within-group effect sizes all were classified as very large (>1.0): 1.49, 1.65, 1.42, 1.12, and 1.46 for ZCQss, ZCQpf, leg pain VAS, back pain VAS, and ODI.Minimally invasive implantation of the Superion device provides long-term, durable relief of symptoms of intermittent neurogenic claudication for patients with moderate lumbar spinal stenosis.",1
1439,https://openalex.org/W2145362040,https://doi.org/10.1186/1471-2474-15-221,Two-year clinical outcomes of a multicenter randomized controlled trial comparing two interspinous spacers for treatment of moderate lumbar spinal stenosis,"Abstract Background Interspinous spacers are a minimally invasive surgical alternative for patients with lumbar spinal stenosis (LSS) unresponsive to conservative care. The purpose of this prospective, multicenter, randomized, controlled trial was to compare 2-year clinical outcomes in patients with moderate LSS treated with the Superion® (Experimental) or the X-Stop®, a FDA-approved interspinous spacer (Control). Methods A total of 250 patients with moderate LSS unresponsive to conservative care were randomly allocated to treatment with the Experimental (n = 123) or Control (n = 127) interspinous spacer and followed through 2 years post-treatment. Complication data were available for all patients and patient-reported outcomes were available for 192 patients (101 Experimental, 91 Control) at 2 years. Results Zurich Claudication Questionnaire (ZCQ) Symptom Severity and Physical Function scores improved 34% to 36% in both groups through 2 years (all p &lt; 0.001). Patient Satisfaction scores at 2 years were 1.8 ± 0.9 with Experimental and 1.6 ± 0.8 with Control. Axial pain decreased from 59 ± 26 mm at baseline to 21 ± 26 mm at 2 years with Experimental and from 55 ± 26 mm to 21 ± 25 mm with Control (both p &lt; 0.001). Extremity pain decreased from 67 ± 24 mm to 14 ± 22 mm at 2 years with Experimental and from 63 ± 24 mm to 18 ± 23 mm with Control (both p &lt; 0.001). Back function assessed with the Oswestry Disability Index similarly improved with Experimental (37 ± 12% to 18 ± 16%) and Control (39 ± 12% to 20 ± 16%) (both p &lt; 0.001). Freedom from reoperation at the index level was 84% for Experimental and 83% for Control (log-rank: p = 0.38) at 2 years. Conclusions Both interspinous spacers effectively alleviated pain and improved back function to a similar degree through 2 years in patients with moderate LSS who were unresponsive to conservative care. Trial registration NCT00692276 .",1
