,record_id,label,classifier,querier,balancer,feature_extractor,training_set,time,note,tags,user_id
0,68,1,,,,,,1750427332.629561,,,
1,0,0,,,,,,1750427332.629561,,,
2,2,0,,,,,,1750427332.629561,,,
3,1,0,,,,,,1750427332.629561,,,
4,228,1,,,,,,1750427332.629561,,,
5,1984,1,svm,max,balanced,tfidf,5,1750427333.5514867,,,
6,170,0,svm,max,balanced,tfidf,6,1750427333.5632055,,,
7,4506,1,svm,max,balanced,tfidf,7,1750427333.5741541,,,
8,5846,0,svm,max,balanced,tfidf,8,1750427333.584657,,,
9,1177,0,svm,max,balanced,tfidf,9,1750427333.5952387,,,
10,4931,1,svm,max,balanced,tfidf,10,1750427333.6054442,,,
11,3258,1,svm,max,balanced,tfidf,11,1750427333.615907,,,
12,4905,1,svm,max,balanced,tfidf,12,1750427333.6253967,,,
13,5262,1,svm,max,balanced,tfidf,13,1750427333.635198,,,
14,1918,1,svm,max,balanced,tfidf,14,1750427333.6449733,,,
15,6754,0,svm,max,balanced,tfidf,15,1750427333.6548457,,,
16,8355,1,svm,max,balanced,tfidf,16,1750427333.6649077,,,
17,5428,1,svm,max,balanced,tfidf,17,1750427333.6751075,,,
18,528,0,svm,max,balanced,tfidf,18,1750427333.6847725,,,
19,4794,0,svm,max,balanced,tfidf,19,1750427333.694025,,,
20,8751,1,svm,max,balanced,tfidf,20,1750427333.7042015,,,
21,6520,1,svm,max,balanced,tfidf,21,1750427333.7142231,,,
22,1824,1,svm,max,balanced,tfidf,22,1750427333.7247603,,,
23,6660,0,svm,max,balanced,tfidf,23,1750427333.7364469,,,
24,3689,1,svm,max,balanced,tfidf,24,1750427333.747704,,,
25,2842,1,svm,max,balanced,tfidf,25,1750427333.7594683,,,
26,6012,0,svm,max,balanced,tfidf,26,1750427333.7717464,,,
27,3038,1,svm,max,balanced,tfidf,27,1750427333.7821603,,,
28,5996,0,svm,max,balanced,tfidf,28,1750427333.7932951,,,
29,5084,1,svm,max,balanced,tfidf,29,1750427333.8043873,,,
30,4488,1,svm,max,balanced,tfidf,30,1750427333.8151522,,,
31,6783,0,svm,max,balanced,tfidf,31,1750427333.8254852,,,
32,6963,1,svm,max,balanced,tfidf,32,1750427333.8357422,,,
33,4877,1,svm,max,balanced,tfidf,33,1750427333.845873,,,
34,5176,1,svm,max,balanced,tfidf,34,1750427333.8555164,,,
35,5838,0,svm,max,balanced,tfidf,35,1750427333.8662982,,,
36,2552,1,svm,max,balanced,tfidf,36,1750427333.877724,,,
37,8366,1,svm,max,balanced,tfidf,37,1750427333.8878498,,,
38,5425,1,svm,max,balanced,tfidf,38,1750427333.8983214,,,
39,6165,1,svm,max,balanced,tfidf,39,1750427333.9086552,,,
40,3342,1,svm,max,balanced,tfidf,40,1750427333.920079,,,
41,1596,1,svm,max,balanced,tfidf,41,1750427333.9302108,,,
42,4194,1,svm,max,balanced,tfidf,42,1750427333.9413857,,,
43,1230,1,svm,max,balanced,tfidf,43,1750427333.9517202,,,
44,3493,0,svm,max,balanced,tfidf,44,1750427333.962052,,,
45,4109,0,svm,max,balanced,tfidf,45,1750427333.9720645,,,
46,2146,1,svm,max,balanced,tfidf,46,1750427333.984098,,,
47,8688,0,svm,max,balanced,tfidf,47,1750427333.9966881,,,
48,4950,0,svm,max,balanced,tfidf,48,1750427334.0110602,,,
49,4770,0,svm,max,balanced,tfidf,49,1750427334.0238442,,,
50,7797,1,svm,max,balanced,tfidf,50,1750427334.036817,,,
51,7013,0,svm,max,balanced,tfidf,51,1750427334.0499077,,,
