record_id,label,classifier,querier,balancer,feature_extractor,training_set,time,note,tags,user_id
142,1,,top_down,,,142,1750939728.563648,,,
1309,1,svm,max,balanced,tfidf,152,1750939729.6563406,,,
1788,1,svm,max,balanced,tfidf,153,1750939729.6651113,,,
1655,1,svm,max,balanced,tfidf,158,1750939729.71556,,,
346,1,svm,max,balanced,tfidf,173,1750939729.8582454,,,
862,1,svm,max,balanced,tfidf,174,1750939729.867697,,,
2798,1,svm,max,balanced,tfidf,175,1750939729.8769162,,,
2528,1,svm,max,balanced,tfidf,185,1750939729.9848607,,,
555,1,svm,max,balanced,tfidf,187,1750939730.0043395,,,
753,1,svm,max,balanced,tfidf,189,1750939730.0272393,,,
1980,1,svm,max,balanced,tfidf,195,1750939730.0848403,,,
1606,1,svm,max,balanced,tfidf,203,1750939730.1652818,,,
2047,1,svm,max,balanced,tfidf,204,1750939730.1759205,,,
1888,1,svm,max,balanced,tfidf,205,1750939730.1855783,,,
2334,1,svm,max,balanced,tfidf,207,1750939730.2056613,,,
2293,1,svm,max,balanced,tfidf,208,1750939730.215391,,,
774,1,svm,max,balanced,tfidf,214,1750939730.2830164,,,
1262,1,svm,max,balanced,tfidf,215,1750939730.2938638,,,
2839,1,svm,max,balanced,tfidf,223,1750939730.3741786,,,
1440,1,svm,max,balanced,tfidf,249,1750939730.6590695,,,
2280,1,svm,max,balanced,tfidf,266,1750939730.8487017,,,
600,1,svm,max,balanced,tfidf,294,1750939731.1875677,,,
2714,1,svm,max,balanced,tfidf,298,1750939731.2404742,,,
2847,1,svm,max,balanced,tfidf,331,1750939731.6594763,,,
886,1,svm,max,balanced,tfidf,364,1750939732.1156507,,,
2220,0,svm,max,balanced,tfidf,465,1750939733.6465516,,,
2124,0,svm,max,balanced,tfidf,466,1750939733.661637,,,
684,0,svm,max,balanced,tfidf,467,1750939733.6819193,,,
1104,0,svm,max,balanced,tfidf,468,1750939733.7006774,,,
468,0,svm,max,balanced,tfidf,469,1750939733.7157383,,,
1772,0,svm,max,balanced,tfidf,470,1750939733.7310221,,,
2221,0,svm,max,balanced,tfidf,471,1750939733.7457833,,,
2673,0,svm,max,balanced,tfidf,472,1750939733.760292,,,
1996,0,svm,max,balanced,tfidf,473,1750939733.7755218,,,
777,0,svm,max,balanced,tfidf,474,1750939733.7911737,,,
2375,0,svm,max,balanced,tfidf,475,1750939733.8084044,,,
630,0,svm,max,balanced,tfidf,476,1750939733.8282647,,,
2201,0,svm,max,balanced,tfidf,477,1750939733.843513,,,
2094,0,svm,max,balanced,tfidf,478,1750939733.8594666,,,
287,0,svm,max,balanced,tfidf,479,1750939733.8747685,,,
859,0,svm,max,balanced,tfidf,480,1750939733.891097,,,
838,0,svm,max,balanced,tfidf,481,1750939733.9058046,,,
1767,0,svm,max,balanced,tfidf,482,1750939733.9207478,,,
2812,0,svm,max,balanced,tfidf,483,1750939733.941612,,,
694,0,svm,max,balanced,tfidf,484,1750939733.957398,,,
2302,0,svm,max,balanced,tfidf,485,1750939733.9722214,,,
599,0,svm,max,balanced,tfidf,486,1750939733.9875696,,,
163,0,svm,max,balanced,tfidf,487,1750939734.0030096,,,
2223,0,svm,max,balanced,tfidf,488,1750939734.0195608,,,
718,0,svm,max,balanced,tfidf,489,1750939734.033881,,,
612,0,svm,max,balanced,tfidf,490,1750939734.051348,,,
2068,0,svm,max,balanced,tfidf,491,1750939734.0711157,,,
954,0,svm,max,balanced,tfidf,492,1750939734.0863914,,,
592,0,svm,max,balanced,tfidf,493,1750939734.1015708,,,
370,0,svm,max,balanced,tfidf,494,1750939734.1179404,,,
927,0,svm,max,balanced,tfidf,495,1750939734.1369455,,,
267,0,svm,max,balanced,tfidf,496,1750939734.1533303,,,
1761,0,svm,max,balanced,tfidf,497,1750939734.1709075,,,
1922,0,svm,max,balanced,tfidf,498,1750939734.1859822,,,
2032,0,svm,max,balanced,tfidf,499,1750939734.2016668,,,
2720,0,svm,max,balanced,tfidf,500,1750939734.216675,,,
250,0,svm,max,balanced,tfidf,501,1750939734.2333374,,,
1889,0,svm,max,balanced,tfidf,502,1750939734.2488227,,,
2663,0,svm,max,balanced,tfidf,503,1750939734.2653039,,,
2618,0,svm,max,balanced,tfidf,504,1750939734.287131,,,
853,0,svm,max,balanced,tfidf,505,1750939734.3024828,,,
990,0,svm,max,balanced,tfidf,506,1750939734.3181362,,,
1017,0,svm,max,balanced,tfidf,507,1750939734.3327982,,,
963,0,svm,max,balanced,tfidf,508,1750939734.347832,,,
559,0,svm,max,balanced,tfidf,509,1750939734.369993,,,
2665,0,svm,max,balanced,tfidf,510,1750939734.3888988,,,
2138,0,svm,max,balanced,tfidf,511,1750939734.404009,,,
2501,0,svm,max,balanced,tfidf,512,1750939734.4199214,,,
1946,0,svm,max,balanced,tfidf,513,1750939734.4343927,,,
2485,0,svm,max,balanced,tfidf,514,1750939734.4494376,,,
2432,0,svm,max,balanced,tfidf,515,1750939734.4684289,,,
2844,0,svm,max,balanced,tfidf,516,1750939734.4850044,,,
1229,0,svm,max,balanced,tfidf,517,1750939734.5061438,,,
1062,0,svm,max,balanced,tfidf,518,1750939734.5222368,,,
680,0,svm,max,balanced,tfidf,519,1750939734.5375133,,,
2754,0,svm,max,balanced,tfidf,520,1750939734.553191,,,
2766,0,svm,max,balanced,tfidf,521,1750939734.5683146,,,
881,0,svm,max,balanced,tfidf,522,1750939734.5848198,,,
632,0,svm,max,balanced,tfidf,523,1750939734.605546,,,
1173,0,svm,max,balanced,tfidf,524,1750939734.626258,,,
2713,0,svm,max,balanced,tfidf,525,1750939734.6416643,,,
1540,0,svm,max,balanced,tfidf,526,1750939734.6576777,,,
2415,0,svm,max,balanced,tfidf,527,1750939734.673119,,,
991,0,svm,max,balanced,tfidf,528,1750939734.6885703,,,
2000,0,svm,max,balanced,tfidf,529,1750939734.70594,,,
2524,0,svm,max,balanced,tfidf,530,1750939734.7293606,,,
1892,0,svm,max,balanced,tfidf,531,1750939734.7454925,,,
980,0,svm,max,balanced,tfidf,532,1750939734.7611892,,,
711,0,svm,max,balanced,tfidf,533,1750939734.7769704,,,
1171,0,svm,max,balanced,tfidf,534,1750939734.7925627,,,
2573,0,svm,max,balanced,tfidf,535,1750939734.8088994,,,
2768,0,svm,max,balanced,tfidf,536,1750939734.8303885,,,
198,0,svm,max,balanced,tfidf,537,1750939734.849621,,,
1811,0,svm,max,balanced,tfidf,538,1750939734.8648384,,,
2417,0,svm,max,balanced,tfidf,539,1750939734.8804908,,,
1639,0,svm,max,balanced,tfidf,540,1750939734.8973663,,,
2616,0,svm,max,balanced,tfidf,541,1750939734.9160228,,,
1184,0,svm,max,balanced,tfidf,542,1750939734.937169,,,
587,0,svm,max,balanced,tfidf,543,1750939734.95605,,,
824,0,svm,max,balanced,tfidf,544,1750939734.9712589,,,
1082,0,svm,max,balanced,tfidf,545,1750939734.9877508,,,
1711,0,svm,max,balanced,tfidf,546,1750939735.0037076,,,
752,0,svm,max,balanced,tfidf,547,1750939735.0200698,,,
2448,0,svm,max,balanced,tfidf,548,1750939735.041837,,,
1139,0,svm,max,balanced,tfidf,549,1750939735.0624804,,,
1941,0,svm,max,balanced,tfidf,550,1750939735.077802,,,
1700,0,svm,max,balanced,tfidf,551,1750939735.094212,,,
2263,0,svm,max,balanced,tfidf,552,1750939735.110123,,,
1179,0,svm,max,balanced,tfidf,553,1750939735.1278777,,,
2333,0,svm,max,balanced,tfidf,554,1750939735.1508765,,,
646,0,svm,max,balanced,tfidf,555,1750939735.1695073,,,
2816,0,svm,max,balanced,tfidf,556,1750939735.1848164,,,
1834,0,svm,max,balanced,tfidf,557,1750939735.2011547,,,
1820,0,svm,max,balanced,tfidf,558,1750939735.217824,,,
2605,0,svm,max,balanced,tfidf,559,1750939735.2345636,,,
207,0,svm,max,balanced,tfidf,560,1750939735.2557044,,,
976,0,svm,max,balanced,tfidf,561,1750939735.2777302,,,
190,0,svm,max,balanced,tfidf,562,1750939735.2973013,,,
1151,0,svm,max,balanced,tfidf,563,1750939735.3138385,,,
2532,0,svm,max,balanced,tfidf,564,1750939735.3303025,,,
1290,0,svm,max,balanced,tfidf,565,1750939735.346245,,,
506,0,svm,max,balanced,tfidf,566,1750939735.3677444,,,
585,0,svm,max,balanced,tfidf,567,1750939735.388859,,,
2107,0,svm,max,balanced,tfidf,568,1750939735.404792,,,
2741,0,svm,max,balanced,tfidf,569,1750939735.4218302,,,
1779,0,svm,max,balanced,tfidf,570,1750939735.4380882,,,
359,0,svm,max,balanced,tfidf,571,1750939735.4575698,,,
2262,0,svm,max,balanced,tfidf,572,1750939735.4796977,,,
925,0,svm,max,balanced,tfidf,573,1750939735.4980102,,,
1607,0,svm,max,balanced,tfidf,574,1750939735.5146718,,,
626,0,svm,max,balanced,tfidf,575,1750939735.5310366,,,
293,0,svm,max,balanced,tfidf,576,1750939735.5467317,,,
295,0,svm,max,balanced,tfidf,577,1750939735.563871,,,
2390,0,svm,max,balanced,tfidf,578,1750939735.5852742,,,
2677,0,svm,max,balanced,tfidf,579,1750939735.606385,,,
2411,0,svm,max,balanced,tfidf,580,1750939735.622847,,,
2168,0,svm,max,balanced,tfidf,581,1750939735.6399574,,,
1131,0,svm,max,balanced,tfidf,582,1750939735.6564562,,,
2725,0,svm,max,balanced,tfidf,583,1750939735.6730134,,,
