record_id,label,classifier,querier,balancer,feature_extractor,training_set,time,note,tags,user_id
0,0,,top_down,,,0,1750939909.9801092,,,
1,0,,top_down,,,1,1750939909.9847224,,,
2,0,,top_down,,,2,1750939909.990866,,,
3,0,,top_down,,,3,1750939909.9975705,,,
4,0,,top_down,,,4,1750939910.0047083,,,
5,0,,top_down,,,5,1750939910.0120633,,,
6,0,,top_down,,,6,1750939910.0188012,,,
7,0,,top_down,,,7,1750939910.0257883,,,
8,0,,top_down,,,8,1750939910.0329323,,,
9,0,,top_down,,,9,1750939910.0384912,,,
10,0,,top_down,,,10,1750939910.0436609,,,
11,0,,top_down,,,11,1750939910.0484595,,,
12,0,,top_down,,,12,1750939910.053428,,,
13,0,,top_down,,,13,1750939910.0582528,,,
14,0,,top_down,,,14,1750939910.0642297,,,
15,0,,top_down,,,15,1750939910.0699217,,,
16,0,,top_down,,,16,1750939910.077099,,,
17,0,,top_down,,,17,1750939910.0829124,,,
18,0,,top_down,,,18,1750939910.0889726,,,
19,0,,top_down,,,19,1750939910.095332,,,
20,0,,top_down,,,20,1750939910.1011846,,,
21,0,,top_down,,,21,1750939910.1076956,,,
22,0,,top_down,,,22,1750939910.113649,,,
23,0,,top_down,,,23,1750939910.119748,,,
24,0,,top_down,,,24,1750939910.125583,,,
25,0,,top_down,,,25,1750939910.131228,,,
26,0,,top_down,,,26,1750939910.137096,,,
27,0,,top_down,,,27,1750939910.141854,,,
28,0,,top_down,,,28,1750939910.1474507,,,
29,0,,top_down,,,29,1750939910.1525724,,,
30,0,,top_down,,,30,1750939910.157565,,,
31,0,,top_down,,,31,1750939910.1625924,,,
32,0,,top_down,,,32,1750939910.1673095,,,
33,0,,top_down,,,33,1750939910.171542,,,
34,0,,top_down,,,34,1750939910.1763117,,,
35,0,,top_down,,,35,1750939910.1813512,,,
36,0,,top_down,,,36,1750939910.1858652,,,
37,0,,top_down,,,37,1750939910.1902528,,,
38,0,,top_down,,,38,1750939910.1948898,,,
39,0,,top_down,,,39,1750939910.199301,,,
40,0,,top_down,,,40,1750939910.2040856,,,
41,0,,top_down,,,41,1750939910.2085567,,,
42,0,,top_down,,,42,1750939910.2129567,,,
43,0,,top_down,,,43,1750939910.2173283,,,
44,0,,top_down,,,44,1750939910.2217085,,,
45,0,,top_down,,,45,1750939910.2260833,,,
46,0,,top_down,,,46,1750939910.2312548,,,
47,0,,top_down,,,47,1750939910.235969,,,
48,0,,top_down,,,48,1750939910.2405224,,,
49,0,,top_down,,,49,1750939910.2454555,,,
50,0,,top_down,,,50,1750939910.2498708,,,
51,0,,top_down,,,51,1750939910.254448,,,
52,0,,top_down,,,52,1750939910.2590346,,,
53,0,,top_down,,,53,1750939910.2635925,,,
54,0,,top_down,,,54,1750939910.2683446,,,
55,0,,top_down,,,55,1750939910.2726815,,,
56,0,,top_down,,,56,1750939910.2785423,,,
57,0,,top_down,,,57,1750939910.2829435,,,
58,0,,top_down,,,58,1750939910.2878287,,,
59,0,,top_down,,,59,1750939910.2922885,,,
60,0,,top_down,,,60,1750939910.2968042,,,
61,0,,top_down,,,61,1750939910.3018742,,,
62,0,,top_down,,,62,1750939910.306658,,,
63,0,,top_down,,,63,1750939910.311547,,,
64,0,,top_down,,,64,1750939910.3163738,,,
65,0,,top_down,,,65,1750939910.3210247,,,
66,0,,top_down,,,66,1750939910.3257065,,,
67,0,,top_down,,,67,1750939910.3304114,,,
68,1,,top_down,,,68,1750939910.335375,,,
7822,0,svm,max,balanced,tfidf,69,1750939914.0600162,,,
6754,0,svm,max,balanced,tfidf,70,1750939914.0880609,,,
6303,1,svm,max,balanced,tfidf,71,1750939914.11458,,,
7700,1,svm,max,balanced,tfidf,72,1750939914.1395638,,,
7571,1,svm,max,balanced,tfidf,73,1750939914.1642642,,,
1813,0,svm,max,balanced,tfidf,74,1750939914.1922996,,,
7905,1,svm,max,balanced,tfidf,75,1750939914.2165425,,,
5302,1,svm,max,balanced,tfidf,76,1750939914.2443433,,,
239,0,svm,max,balanced,tfidf,77,1750939914.2735145,,,
1918,1,svm,max,balanced,tfidf,78,1750939914.302734,,,
3163,1,svm,max,balanced,tfidf,79,1750939914.3267577,,,
4400,1,svm,max,balanced,tfidf,80,1750939914.34982,,,
3143,1,svm,max,balanced,tfidf,81,1750939914.3735068,,,
1183,1,svm,max,balanced,tfidf,82,1750939914.3960798,,,
5560,0,svm,max,balanced,tfidf,83,1750939914.4205313,,,
5177,1,svm,max,balanced,tfidf,84,1750939914.447788,,,
6815,1,svm,max,balanced,tfidf,85,1750939914.4735377,,,
2775,1,svm,max,balanced,tfidf,86,1750939914.4981983,,,
2686,1,svm,max,balanced,tfidf,87,1750939914.5223832,,,
8511,0,svm,max,balanced,tfidf,88,1750939914.5562353,,,
7084,1,svm,max,balanced,tfidf,89,1750939914.5850503,,,
8477,1,svm,max,balanced,tfidf,90,1750939914.6105328,,,
5919,0,svm,max,balanced,tfidf,91,1750939914.6389222,,,
1202,1,svm,max,balanced,tfidf,92,1750939914.6622267,,,
1596,1,svm,max,balanced,tfidf,93,1750939914.6860723,,,
1928,1,svm,max,balanced,tfidf,94,1750939914.7089267,,,
7198,0,svm,max,balanced,tfidf,95,1750939914.7321513,,,
1278,0,svm,max,balanced,tfidf,96,1750939914.7554188,,,
1551,1,svm,max,balanced,tfidf,97,1750939914.7783382,,,
6033,1,svm,max,balanced,tfidf,98,1750939914.80769,,,
3499,0,svm,max,balanced,tfidf,99,1750939914.8324263,,,
4950,0,svm,max,balanced,tfidf,100,1750939914.8573275,,,
1038,1,svm,max,balanced,tfidf,101,1750939914.8830435,,,
6002,1,svm,max,balanced,tfidf,102,1750939914.9069943,,,
2146,1,svm,max,balanced,tfidf,103,1750939914.9343312,,,
1031,0,svm,max,balanced,tfidf,104,1750939914.9576738,,,
952,0,svm,max,balanced,tfidf,105,1750939914.9854538,,,
7362,1,svm,max,balanced,tfidf,106,1750939915.012099,,,
5425,1,svm,max,balanced,tfidf,107,1750939915.0373538,,,
6165,1,svm,max,balanced,tfidf,108,1750939915.0599964,,,
8366,1,svm,max,balanced,tfidf,109,1750939915.0838044,,,
3342,1,svm,max,balanced,tfidf,110,1750939915.106877,,,
2132,0,svm,max,balanced,tfidf,111,1750939915.1344237,,,
373,1,svm,max,balanced,tfidf,112,1750939915.1620846,,,
5347,1,svm,max,balanced,tfidf,113,1750939915.188847,,,
2468,0,svm,max,balanced,tfidf,114,1750939915.2112708,,,
3082,0,svm,max,balanced,tfidf,115,1750939915.233005,,,
4794,0,svm,max,balanced,tfidf,116,1750939915.2544491,,,
4770,0,svm,max,balanced,tfidf,117,1750939915.2759078,,,
5328,1,svm,max,balanced,tfidf,118,1750939915.2993479,,,
2492,1,svm,max,balanced,tfidf,119,1750939915.3275373,,,
8078,1,svm,max,balanced,tfidf,120,1750939915.3538291,,,
170,0,svm,max,balanced,tfidf,121,1750939915.375583,,,
4926,1,svm,max,balanced,tfidf,122,1750939915.3983374,,,
3071,1,svm,max,balanced,tfidf,123,1750939915.4205613,,,
1210,1,svm,max,balanced,tfidf,124,1750939915.451921,,,
4851,0,svm,max,balanced,tfidf,125,1750939915.4766095,,,
1216,1,svm,max,balanced,tfidf,126,1750939915.4981813,,,
2571,1,svm,max,balanced,tfidf,127,1750939915.5198674,,,
5640,1,svm,max,balanced,tfidf,128,1750939915.5428317,,,
2842,1,svm,max,balanced,tfidf,129,1750939915.566415,,,
228,1,svm,max,balanced,tfidf,130,1750939915.5957916,,,
4488,1,svm,max,balanced,tfidf,131,1750939915.6206381,,,
1984,1,svm,max,balanced,tfidf,132,1750939915.6437423,,,
4931,1,svm,max,balanced,tfidf,133,1750939915.6672652,,,
3258,1,svm,max,balanced,tfidf,134,1750939915.6908133,,,
1889,0,svm,max,balanced,tfidf,135,1750939915.7198522,,,
5084,1,svm,max,balanced,tfidf,136,1750939915.745229,,,
4877,1,svm,max,balanced,tfidf,137,1750939915.768128,,,
4109,0,svm,max,balanced,tfidf,138,1750939915.7954988,,,
5907,0,svm,max,balanced,tfidf,139,1750939915.825417,,,
4506,1,svm,max,balanced,tfidf,140,1750939915.8520205,,,
2552,1,svm,max,balanced,tfidf,141,1750939915.8757381,,,
1177,0,svm,max,balanced,tfidf,142,1750939915.900462,,,
3883,0,svm,max,balanced,tfidf,143,1750939915.9242945,,,
6963,1,svm,max,balanced,tfidf,144,1750939915.953883,,,
3038,1,svm,max,balanced,tfidf,145,1750939915.977767,,,
7797,1,svm,max,balanced,tfidf,146,1750939916.0052378,,,
1012,0,svm,max,balanced,tfidf,147,1750939916.028703,,,
5176,1,svm,max,balanced,tfidf,148,1750939916.0533998,,,
5271,0,svm,max,balanced,tfidf,149,1750939916.081344,,,
967,0,svm,max,balanced,tfidf,150,1750939916.106525,,,
8688,0,svm,max,balanced,tfidf,151,1750939916.1289194,,,
7788,1,svm,max,balanced,tfidf,152,1750939916.1511917,,,
5262,1,svm,max,balanced,tfidf,153,1750939916.176376,,,
4905,1,svm,max,balanced,tfidf,154,1750939916.2053046,,,
8051,0,svm,max,balanced,tfidf,155,1750939916.2345545,,,
1230,1,svm,max,balanced,tfidf,156,1750939916.2598057,,,
7232,0,svm,max,balanced,tfidf,157,1750939916.2889674,,,
4049,0,svm,max,balanced,tfidf,158,1750939916.313813,,,
5055,1,svm,max,balanced,tfidf,159,1750939916.3415587,,,
1554,1,svm,max,balanced,tfidf,160,1750939916.3688364,,,
1964,1,svm,max,balanced,tfidf,161,1750939916.3926344,,,
779,1,svm,max,balanced,tfidf,162,1750939916.419912,,,
897,0,svm,max,balanced,tfidf,163,1750939916.451947,,,
575,0,svm,max,balanced,tfidf,164,1750939916.4772496,,,
3689,1,svm,max,balanced,tfidf,165,1750939916.5000777,,,
4241,1,svm,max,balanced,tfidf,166,1750939916.522357,,,
2535,0,svm,max,balanced,tfidf,167,1750939916.5513906,,,
1799,0,svm,max,balanced,tfidf,168,1750939916.5759983,,,
4560,1,svm,max,balanced,tfidf,169,1750939916.5985198,,,
4549,1,svm,max,balanced,tfidf,170,1750939916.6223931,,,
5996,0,svm,max,balanced,tfidf,171,1750939916.6461735,,,
7512,0,svm,max,balanced,tfidf,172,1750939916.6780646,,,
4543,1,svm,max,balanced,tfidf,173,1750939916.7043753,,,
1124,1,svm,max,balanced,tfidf,174,1750939916.7311192,,,
5611,0,svm,max,balanced,tfidf,175,1750939916.7600505,,,
8259,0,svm,max,balanced,tfidf,176,1750939916.7904704,,,
8751,1,svm,max,balanced,tfidf,177,1750939916.818964,,,
3169,1,svm,max,balanced,tfidf,178,1750939916.8432348,,,
1308,0,svm,max,balanced,tfidf,179,1750939916.87209,,,
8355,1,svm,max,balanced,tfidf,180,1750939916.9149177,,,
3493,0,svm,max,balanced,tfidf,181,1750939916.9793897,,,
4177,0,svm,max,balanced,tfidf,182,1750939917.031324,,,
5428,1,svm,max,balanced,tfidf,183,1750939917.0581014,,,
6520,1,svm,max,balanced,tfidf,184,1750939917.084214,,,
1824,1,svm,max,balanced,tfidf,185,1750939917.1140096,,,
4656,0,svm,max,balanced,tfidf,186,1750939917.136708,,,
543,1,svm,max,balanced,tfidf,187,1750939917.16072,,,
6085,1,svm,max,balanced,tfidf,188,1750939917.188445,,,
7509,1,svm,max,balanced,tfidf,189,1750939917.2176878,,,
7450,1,svm,max,balanced,tfidf,190,1750939917.2414453,,,
4639,0,svm,max,balanced,tfidf,191,1750939917.2635477,,,
