record_id,label,classifier,querier,balancer,feature_extractor,training_set,time,note,tags,user_id
0,0,,top_down,,,0,1750938874.5237243,,,
1,0,,top_down,,,1,1750938874.5253623,,,
2,0,,top_down,,,2,1750938874.5268807,,,
3,0,,top_down,,,3,1750938874.5281487,,,
4,0,,top_down,,,4,1750938874.529422,,,
5,0,,top_down,,,5,1750938874.5306745,,,
6,1,,top_down,,,6,1750938874.5320585,,,
552,1,svm,max,balanced,tfidf,7,1750938875.2970343,,,
160,0,svm,max,balanced,tfidf,8,1750938875.309876,,,
244,1,svm,max,balanced,tfidf,9,1750938875.3195822,,,
478,1,svm,max,balanced,tfidf,10,1750938875.3291986,,,
289,0,svm,max,balanced,tfidf,11,1750938875.3393912,,,
301,1,svm,max,balanced,tfidf,12,1750938875.3475177,,,
1068,1,svm,max,balanced,tfidf,13,1750938875.3580203,,,
65,0,svm,max,balanced,tfidf,14,1750938875.3698132,,,
659,1,svm,max,balanced,tfidf,15,1750938875.3787973,,,
835,1,svm,max,balanced,tfidf,16,1750938875.3875444,,,
598,0,svm,max,balanced,tfidf,17,1750938875.3971512,,,
791,1,svm,max,balanced,tfidf,18,1750938875.404409,,,
974,1,svm,max,balanced,tfidf,19,1750938875.4122267,,,
291,1,svm,max,balanced,tfidf,20,1750938875.4211123,,,
110,0,svm,max,balanced,tfidf,21,1750938875.4308836,,,
463,1,svm,max,balanced,tfidf,22,1750938875.4417539,,,
736,1,svm,max,balanced,tfidf,23,1750938875.4545732,,,
1138,1,svm,max,balanced,tfidf,24,1750938875.4652922,,,
136,1,svm,max,balanced,tfidf,25,1750938875.472712,,,
550,1,svm,max,balanced,tfidf,26,1750938875.4805999,,,
1074,0,svm,max,balanced,tfidf,27,1750938875.4877348,,,
290,1,svm,max,balanced,tfidf,28,1750938875.495217,,,
89,0,svm,max,balanced,tfidf,29,1750938875.5025976,,,
858,1,svm,max,balanced,tfidf,30,1750938875.5100958,,,
282,1,svm,max,balanced,tfidf,31,1750938875.51836,,,
1120,1,svm,max,balanced,tfidf,32,1750938875.5257983,,,
680,0,svm,max,balanced,tfidf,33,1750938875.533891,,,
854,1,svm,max,balanced,tfidf,34,1750938875.5421686,,,
30,1,svm,max,balanced,tfidf,35,1750938875.550756,,,
1109,1,svm,max,balanced,tfidf,36,1750938875.5583904,,,
774,1,svm,max,balanced,tfidf,37,1750938875.5648963,,,
1159,1,svm,max,balanced,tfidf,38,1750938875.57159,,,
394,1,svm,max,balanced,tfidf,39,1750938875.5780349,,,
1015,1,svm,max,balanced,tfidf,40,1750938875.5848548,,,
1172,0,svm,max,balanced,tfidf,41,1750938875.591753,,,
1029,0,svm,max,balanced,tfidf,42,1750938875.5989318,,,
821,1,svm,max,balanced,tfidf,43,1750938875.6057394,,,
138,1,svm,max,balanced,tfidf,44,1750938875.6125894,,,
839,1,svm,max,balanced,tfidf,45,1750938875.619881,,,
669,0,svm,max,balanced,tfidf,46,1750938875.6273527,,,
158,1,svm,max,balanced,tfidf,47,1750938875.6363604,,,
298,1,svm,max,balanced,tfidf,48,1750938875.643982,,,
168,1,svm,max,balanced,tfidf,49,1750938875.6512299,,,
1049,1,svm,max,balanced,tfidf,50,1750938875.6592522,,,
184,1,svm,max,balanced,tfidf,51,1750938875.6669066,,,
271,1,svm,max,balanced,tfidf,52,1750938875.6743915,,,
739,0,svm,max,balanced,tfidf,53,1750938875.6811943,,,
1035,0,svm,max,balanced,tfidf,54,1750938875.6880128,,,
1047,0,svm,max,balanced,tfidf,55,1750938875.6952438,,,
916,1,svm,max,balanced,tfidf,56,1750938875.7022457,,,
406,1,svm,max,balanced,tfidf,57,1750938875.709529,,,
755,0,svm,max,balanced,tfidf,58,1750938875.716533,,,
817,0,svm,max,balanced,tfidf,59,1750938875.724294,,,
336,1,svm,max,balanced,tfidf,60,1750938875.7318318,,,
1021,1,svm,max,balanced,tfidf,61,1750938875.7411227,,,
675,1,svm,max,balanced,tfidf,62,1750938875.750278,,,
144,1,svm,max,balanced,tfidf,63,1750938875.7588742,,,
762,1,svm,max,balanced,tfidf,64,1750938875.766394,,,
392,0,svm,max,balanced,tfidf,65,1750938875.7736132,,,
1155,1,svm,max,balanced,tfidf,66,1750938875.780358,,,
1011,1,svm,max,balanced,tfidf,67,1750938875.7871706,,,
605,0,svm,max,balanced,tfidf,68,1750938875.794508,,,
674,0,svm,max,balanced,tfidf,69,1750938875.8012533,,,
604,1,svm,max,balanced,tfidf,70,1750938875.808353,,,
272,0,svm,max,balanced,tfidf,71,1750938875.8154118,,,
1100,1,svm,max,balanced,tfidf,72,1750938875.822245,,,
813,1,svm,max,balanced,tfidf,73,1750938875.8308766,,,
790,0,svm,max,balanced,tfidf,74,1750938875.8378756,,,
504,1,svm,max,balanced,tfidf,75,1750938875.8466203,,,
1076,0,svm,max,balanced,tfidf,76,1750938875.8534198,,,
904,1,svm,max,balanced,tfidf,77,1750938875.8610144,,,
19,1,svm,max,balanced,tfidf,78,1750938875.8690467,,,
174,1,svm,max,balanced,tfidf,79,1750938875.8779354,,,
326,0,svm,max,balanced,tfidf,80,1750938875.8858883,,,
818,1,svm,max,balanced,tfidf,81,1750938875.8929143,,,
662,0,svm,max,balanced,tfidf,82,1750938875.899986,,,
889,0,svm,max,balanced,tfidf,83,1750938875.9084685,,,
102,1,svm,max,balanced,tfidf,84,1750938875.916302,,,
865,1,svm,max,balanced,tfidf,85,1750938875.9244153,,,
786,0,svm,max,balanced,tfidf,86,1750938875.9325361,,,
1121,0,svm,max,balanced,tfidf,87,1750938875.9399905,,,
287,1,svm,max,balanced,tfidf,88,1750938875.94796,,,
34,1,svm,max,balanced,tfidf,89,1750938875.957249,,,
558,0,svm,max,balanced,tfidf,90,1750938875.9671907,,,
753,1,svm,max,balanced,tfidf,91,1750938875.977002,,,
841,0,svm,max,balanced,tfidf,92,1750938875.9862378,,,
843,0,svm,max,balanced,tfidf,93,1750938875.9946566,,,
209,0,svm,max,balanced,tfidf,94,1750938876.0021708,,,
483,0,svm,max,balanced,tfidf,95,1750938876.0096378,,,
1092,0,svm,max,balanced,tfidf,96,1750938876.016912,,,
819,1,svm,max,balanced,tfidf,97,1750938876.0241957,,,
824,0,svm,max,balanced,tfidf,98,1750938876.031817,,,
1087,1,svm,max,balanced,tfidf,99,1750938876.0400693,,,
462,1,svm,max,balanced,tfidf,100,1750938876.0478613,,,
524,0,svm,max,balanced,tfidf,101,1750938876.056882,,,
162,1,svm,max,balanced,tfidf,102,1750938876.0661967,,,
90,0,svm,max,balanced,tfidf,103,1750938876.0761108,,,
387,1,svm,max,balanced,tfidf,104,1750938876.085913,,,
251,0,svm,max,balanced,tfidf,105,1750938876.093832,,,
1112,0,svm,max,balanced,tfidf,106,1750938876.101228,,,
772,0,svm,max,balanced,tfidf,107,1750938876.1088233,,,
702,0,svm,max,balanced,tfidf,108,1750938876.1162415,,,
829,1,svm,max,balanced,tfidf,109,1750938876.123477,,,
190,0,svm,max,balanced,tfidf,110,1750938876.1311738,,,
710,0,svm,max,balanced,tfidf,111,1750938876.140323,,,
391,0,svm,max,balanced,tfidf,112,1750938876.1500745,,,
41,1,svm,max,balanced,tfidf,113,1750938876.157793,,,
513,1,svm,max,balanced,tfidf,114,1750938876.1655607,,,
907,0,svm,max,balanced,tfidf,115,1750938876.1746297,,,
401,0,svm,max,balanced,tfidf,116,1750938876.183666,,,
1128,0,svm,max,balanced,tfidf,117,1750938876.192995,,,
978,0,svm,max,balanced,tfidf,118,1750938876.200973,,,
809,0,svm,max,balanced,tfidf,119,1750938876.208206,,,
159,0,svm,max,balanced,tfidf,120,1750938876.2153797,,,
252,0,svm,max,balanced,tfidf,121,1750938876.2229483,,,
1154,0,svm,max,balanced,tfidf,122,1750938876.2300746,,,
337,0,svm,max,balanced,tfidf,123,1750938876.237145,,,
899,0,svm,max,balanced,tfidf,124,1750938876.2444963,,,
1013,0,svm,max,balanced,tfidf,125,1750938876.2522438,,,
206,0,svm,max,balanced,tfidf,126,1750938876.2611513,,,
153,0,svm,max,balanced,tfidf,127,1750938876.26863,,,
1095,1,svm,max,balanced,tfidf,128,1750938876.2755718,,,
1088,0,svm,max,balanced,tfidf,129,1750938876.2832341,,,
437,0,svm,max,balanced,tfidf,130,1750938876.2914464,,,
382,1,svm,max,balanced,tfidf,131,1750938876.301431,,,
99,0,svm,max,balanced,tfidf,132,1750938876.3100517,,,
750,0,svm,max,balanced,tfidf,133,1750938876.318052,,,
313,0,svm,max,balanced,tfidf,134,1750938876.3254452,,,
186,0,svm,max,balanced,tfidf,135,1750938876.3328245,,,
253,1,svm,max,balanced,tfidf,136,1750938876.3402398,,,
214,1,svm,max,balanced,tfidf,137,1750938876.3477383,,,
1086,0,svm,max,balanced,tfidf,138,1750938876.3565626,,,
227,0,svm,max,balanced,tfidf,139,1750938876.3648343,,,
359,1,svm,max,balanced,tfidf,140,1750938876.3748527,,,
402,0,svm,max,balanced,tfidf,141,1750938876.3847098,,,
540,0,svm,max,balanced,tfidf,142,1750938876.3937469,,,
968,0,svm,max,balanced,tfidf,143,1750938876.405779,,,
1104,0,svm,max,balanced,tfidf,144,1750938876.4146938,,,
1030,0,svm,max,balanced,tfidf,145,1750938876.4235873,,,
773,0,svm,max,balanced,tfidf,146,1750938876.431779,,,
265,0,svm,max,balanced,tfidf,147,1750938876.440092,,,
146,0,svm,max,balanced,tfidf,148,1750938876.4485395,,,
990,0,svm,max,balanced,tfidf,149,1750938876.456708,,,
711,0,svm,max,balanced,tfidf,150,1750938876.465769,,,
940,0,svm,max,balanced,tfidf,151,1750938876.4753468,,,
596,0,svm,max,balanced,tfidf,152,1750938876.4839895,,,
7,0,svm,max,balanced,tfidf,153,1750938876.4937334,,,
15,0,svm,max,balanced,tfidf,154,1750938876.5047746,,,
977,0,svm,max,balanced,tfidf,155,1750938876.517128,,,
257,0,svm,max,balanced,tfidf,156,1750938876.525732,,,
137,0,svm,max,balanced,tfidf,157,1750938876.534689,,,
1137,1,svm,max,balanced,tfidf,158,1750938876.5428333,,,
670,0,svm,max,balanced,tfidf,159,1750938876.55136,,,
456,0,svm,max,balanced,tfidf,160,1750938876.559644,,,
18,0,svm,max,balanced,tfidf,161,1750938876.5678377,,,
441,0,svm,max,balanced,tfidf,162,1750938876.5762625,,,
879,0,svm,max,balanced,tfidf,163,1750938876.5851026,,,
757,0,svm,max,balanced,tfidf,164,1750938876.5943015,,,
1106,0,svm,max,balanced,tfidf,165,1750938876.6068754,,,
94,0,svm,max,balanced,tfidf,166,1750938876.618458,,,
671,0,svm,max,balanced,tfidf,167,1750938876.6276863,,,
193,0,svm,max,balanced,tfidf,168,1750938876.63581,,,
895,0,svm,max,balanced,tfidf,169,1750938876.6437776,,,
1124,0,svm,max,balanced,tfidf,170,1750938876.6516893,,,
254,0,svm,max,balanced,tfidf,171,1750938876.6600978,,,
943,0,svm,max,balanced,tfidf,172,1750938876.668141,,,
213,1,svm,max,balanced,tfidf,173,1750938876.6763246,,,
1062,1,svm,max,balanced,tfidf,174,1750938876.6843581,,,
167,0,svm,max,balanced,tfidf,175,1750938876.692967,,,
1067,0,svm,max,balanced,tfidf,176,1750938876.7017727,,,
553,0,svm,max,balanced,tfidf,177,1750938876.7109313,,,
16,0,svm,max,balanced,tfidf,178,1750938876.7188718,,,
932,1,svm,max,balanced,tfidf,179,1750938876.7284212,,,
14,0,svm,max,balanced,tfidf,180,1750938876.738371,,,
810,0,svm,max,balanced,tfidf,181,1750938876.7498293,,,
949,0,svm,max,balanced,tfidf,182,1750938876.7597005,,,
434,0,svm,max,balanced,tfidf,183,1750938876.7686396,,,
1115,0,svm,max,balanced,tfidf,184,1750938876.777073,,,
808,0,svm,max,balanced,tfidf,185,1750938876.7857366,,,
142,0,svm,max,balanced,tfidf,186,1750938876.7943141,,,
101,0,svm,max,balanced,tfidf,187,1750938876.8045194,,,
1036,0,svm,max,balanced,tfidf,188,1750938876.8129485,,,
1082,0,svm,max,balanced,tfidf,189,1750938876.8218591,,,
601,0,svm,max,balanced,tfidf,190,1750938876.8308015,,,
915,0,svm,max,balanced,tfidf,191,1750938876.8390887,,,
104,1,svm,max,balanced,tfidf,192,1750938876.8478997,,,
709,0,svm,max,balanced,tfidf,193,1750938876.85791,,,
423,0,svm,max,balanced,tfidf,194,1750938876.8695238,,,
728,0,svm,max,balanced,tfidf,195,1750938876.8790858,,,
