record_id,label,classifier,querier,balancer,feature_extractor,training_set,time,note,tags,user_id
730,0,svm,max,balanced,tfidf,579,1750938756.1552525,,,
191,0,svm,max,balanced,tfidf,580,1750938756.1756704,,,
673,0,svm,max,balanced,tfidf,581,1750938756.1993837,,,
196,0,svm,max,balanced,tfidf,582,1750938756.235102,,,
129,0,svm,max,balanced,tfidf,583,1750938756.2605474,,,
567,0,svm,max,balanced,tfidf,584,1750938756.2818704,,,
145,0,svm,max,balanced,tfidf,585,1750938756.3028939,,,
223,0,svm,max,balanced,tfidf,586,1750938756.3250725,,,
485,0,svm,max,balanced,tfidf,587,1750938756.3585107,,,
944,0,svm,max,balanced,tfidf,588,1750938756.382495,,,
329,0,svm,max,balanced,tfidf,589,1750938756.4037688,,,
761,0,svm,max,balanced,tfidf,590,1750938756.4239376,,,
984,0,svm,max,balanced,tfidf,591,1750938756.4461184,,,
594,0,svm,max,balanced,tfidf,592,1750938756.4803886,,,
577,0,svm,max,balanced,tfidf,593,1750938756.50428,,,
1046,0,svm,max,balanced,tfidf,594,1750938756.529249,,,
938,0,svm,max,balanced,tfidf,595,1750938756.5541031,,,
783,0,svm,max,balanced,tfidf,596,1750938756.5787194,,,
720,0,svm,max,balanced,tfidf,597,1750938756.6146042,,,
106,0,svm,max,balanced,tfidf,598,1750938756.6464536,,,
650,0,svm,max,balanced,tfidf,599,1750938756.669852,,,
78,0,svm,max,balanced,tfidf,600,1750938756.6924548,,,
91,0,svm,max,balanced,tfidf,601,1750938756.7128806,,,
299,0,svm,max,balanced,tfidf,602,1750938756.733343,,,
644,0,svm,max,balanced,tfidf,603,1750938756.752116,,,
921,0,svm,max,balanced,tfidf,604,1750938756.7704644,,,
891,0,svm,max,balanced,tfidf,605,1750938756.7934637,,,
643,0,svm,max,balanced,tfidf,606,1750938756.8183513,,,
24,0,svm,max,balanced,tfidf,607,1750938756.8431304,,,
517,0,svm,max,balanced,tfidf,608,1750938756.8674927,,,
466,0,svm,max,balanced,tfidf,609,1750938756.8909273,,,
623,0,svm,max,balanced,tfidf,610,1750938756.913198,,,
840,0,svm,max,balanced,tfidf,611,1750938756.9447522,,,
735,0,svm,max,balanced,tfidf,612,1750938756.9640687,,,
866,0,svm,max,balanced,tfidf,613,1750938756.9823284,,,
1098,0,svm,max,balanced,tfidf,614,1750938757.0004365,,,
727,0,svm,max,balanced,tfidf,615,1750938757.0186994,,,
847,0,svm,max,balanced,tfidf,616,1750938757.0485213,,,
894,0,svm,max,balanced,tfidf,617,1750938757.0687366,,,
361,0,svm,max,balanced,tfidf,618,1750938757.087511,,,
893,0,svm,max,balanced,tfidf,619,1750938757.1060712,,,
918,0,svm,max,balanced,tfidf,620,1750938757.1282911,,,
723,0,svm,max,balanced,tfidf,621,1750938757.1536357,,,
200,0,svm,max,balanced,tfidf,622,1750938757.1759262,,,
805,0,svm,max,balanced,tfidf,623,1750938757.1939938,,,
953,0,svm,max,balanced,tfidf,624,1750938757.2129164,,,
411,0,svm,max,balanced,tfidf,625,1750938757.2328565,,,
1171,0,svm,max,balanced,tfidf,626,1750938757.2678378,,,
908,0,svm,max,balanced,tfidf,627,1750938757.2890038,,,
592,0,svm,max,balanced,tfidf,628,1750938757.309237,,,
179,0,svm,max,balanced,tfidf,629,1750938757.3283262,,,
636,0,svm,max,balanced,tfidf,630,1750938757.3475451,,,
208,0,svm,max,balanced,tfidf,631,1750938757.3802397,,,
103,0,svm,max,balanced,tfidf,632,1750938757.4028146,,,
261,0,svm,max,balanced,tfidf,633,1750938757.4216197,,,
64,0,svm,max,balanced,tfidf,634,1750938757.439658,,,
860,0,svm,max,balanced,tfidf,635,1750938757.4659333,,,
691,0,svm,max,balanced,tfidf,636,1750938757.4902143,,,
430,0,svm,max,balanced,tfidf,637,1750938757.5098858,,,
532,0,svm,max,balanced,tfidf,638,1750938757.5292318,,,
352,0,svm,max,balanced,tfidf,639,1750938757.5488803,,,
21,0,svm,max,balanced,tfidf,640,1750938757.5800583,,,
345,0,svm,max,balanced,tfidf,641,1750938757.6114168,,,
370,0,svm,max,balanced,tfidf,642,1750938757.6371274,,,
525,0,svm,max,balanced,tfidf,643,1750938757.663935,,,
725,0,svm,max,balanced,tfidf,644,1750938757.6882794,,,
956,0,svm,max,balanced,tfidf,645,1750938757.7216134,,,
378,0,svm,max,balanced,tfidf,646,1750938757.75178,,,
970,0,svm,max,balanced,tfidf,647,1750938757.7770412,,,
510,0,svm,max,balanced,tfidf,648,1750938757.8018677,,,
115,0,svm,max,balanced,tfidf,649,1750938757.8250296,,,
844,0,svm,max,balanced,tfidf,650,1750938757.8495638,,,
700,0,svm,max,balanced,tfidf,651,1750938757.8761098,,,
845,0,svm,max,balanced,tfidf,652,1750938757.895223,,,
