record_id,openalex_id,doi,title,abstract,label_included
6,https://openalex.org/W2011790530,https://doi.org/10.2106/jbjs.m.01041,Weight-Bearing Compared with Non-Weight-Bearing Following Osteochondral Autograft Transfer for Small Defects in Weight-Bearing Areas in the Femoral Articular Cartilage of the Knee,"Patients are routinely kept non-weight-bearing for four to eight weeks following osteochondral autograft transfer to repair cartilage defects of the medial and/or lateral femoral condyle. Therefore, the objective of this novel study was to investigate whether postoperative weight-bearing restrictions affect the outcomes of cartilage repair when an osteochondral autograft transfer system is used to repair small defects in weight-bearing areas of femoral articular cartilage.This a retrospective comparative study. Following review of the charts on 567 consecutive arthroscopic osteochondral autograft transfers, three homogeneous groups of patients with consecutive cases were identified: group A, cases of patients who were non-weight-bearing following the procedure (n = 68); group B, cases of those who were non-weight-bearing following the procedure with concomitant anterior cruciate ligament reconstruction (n = 29); and group C, cases of those who were weight-bearing as tolerated following the procedure (n = 437). The cases of patients whose knees underwent second-look (repeat) arthroscopy were stratified into two subgroups: non-weight-bearing (n = 20) and weight-bearing as tolerated (n = 42). Graft position and manifestation of a repair-adjacent defect (Outerbridge grade-III or IV cartilage defect that develops adjacent to the original osteochondral autograft transfer repair) were assessed during second-look arthroscopy. Cartilage repair was retrospectively assessed from second-look arthroscopy pictures by a blinded, independent orthopaedic surgeon with use of the International Cartilage Repair Society macroscopic cartilage-repair assessment tool. Postoperative complication rates were compared among the three primary groups.The mean grafted area was 0.72 cm(2) (range, 0.16 to 1.45 cm(2)) and 0.73 cm(2) (range, 0.16 to 1.80 cm(2)) for the non-weight-bearing and weight-bearing-as-tolerated second-look subgroups, respectively. The mean International Cartilage Repair Society score was 11.12 and 11.25 points (near-normal cartilage) for the non-weight-bearing and weight-bearing-as-tolerated subgroups (p = 0.71) at a mean follow-up of 42.7 and 33.0 months, respectively. There was no significant difference in the duration of follow-up (p = 0.58), repair-adjacent defect prevalence (p = 0.94), or graft position (p = 0.99) between the two subgroups. Weight-bearing-as-tolerated patients (group C) experienced significantly fewer deep vein thrombosis and arthrofibrosis complications compared with non-weight-bearing patients (groups A and B) (p < 0.001).Postoperative weight-bearing restrictions did not affect mid-term cartilage repair outcomes in patients who underwent second-look arthroscopy when an osteochondral autograft transfer system was used to repair small defects in weight-bearing areas of cartilage of the medial and/or lateral femoral condyle.Therapeutic Level III. See Instructions for Authors for a complete description of levels of evidence.",1
19,https://openalex.org/W2088256967,https://doi.org/10.1016/j.arthro.2013.09.074,"Injectable Cultured Bone Marrow–Derived Mesenchymal Stem Cells in Varus Knees With Cartilage Defects Undergoing High Tibial Osteotomy: A Prospective, Randomized Controlled Clinical Trial With 2 Years' Follow-up","To analyze the results of the use of intra-articular cultured autologous bone marrow-derived mesenchymal stem cell (MSC) injections in conjunction with microfracture and medial opening-wedge high tibial osteotomy (HTO).Fifty-six knees in 56 patients with unicompartmental osteoarthritic knees and genu varum were randomly allocated to the cell-recipient group (n = 28) or control group (n = 28). Patients who had a joint line congruity angle of more than 2°, malalignment of the knee from femoral causes, a fixed flexion deformity, or age older than 55 years were excluded. All patients underwent HTO and microfracture. The cell-recipient group received intra-articular injection of cultured MSCs with hyaluronic acid 3 weeks after surgery, whereas the control group only received hyaluronic acid. The primary outcome measure was the International Knee Documentation Committee (IKDC) score at intervals of 6 months, 1 year, and 2 years postoperatively. Secondary outcome measures were Tegner and Lysholm clinical scores and 1-year postoperative Magnetic Resonance Observation of Cartilage Repair Tissue (MOCART) scores.The median age of the patients was 51 years, with a mean body mass index of 23.85. Both treatment arms achieved improvements in Tegner, Lysholm, and IKDC scores. After adjustment for age, baseline scores, and time of evaluation, the cell-recipient group showed significantly better scores. The effect of treatment showed an added improvement of 7.65 (95% confidence interval [CI], 3.04 to 12.26; P = .001) for IKDC scores, 7.61 (95% CI, 1.44 to 13.79; P = .016) for Lysholm scores, and 0.64 (95% CI, 0.10 to 1.19; P = .021) for Tegner scores. Magnetic resonance imaging scans performed 1 year after surgical intervention showed significantly better MOCART scores for the cell-recipient group. The age-adjusted mean difference in MOCART score was 19.6 (95% CI, 10.5 to 28.6; P < .001).Intra-articular injection of cultured MSCs is effective in improving both short-term clinical and MOCART outcomes in patients undergoing HTO and microfracture for varus knees with cartilage defects.Level II, randomized controlled trial.",1
271,https://openalex.org/W2509439226,https://doi.org/10.1016/j.arthro.2016.06.035,Results of Hyaluronic Acid–Based Cell-Free Scaffold Application in Combination With Microfracture for the Treatment of Osteochondral Lesions of the Knee: 2-Year Comparative Study,"To determine the clinical and radiographic efficacy of hyaluronic acid-based cell-free scaffold applied in combination with microfracture versus microfracture alone in patients with focal osteochondral lesion of the knee joint.Clinical data of 43 patients between 24 and 55 years of age were evaluated. Hyaluronic acid-based cell-free scaffold was applied in combination with microfracture for 19 knees (group 1), whereas microfracture alone was the surgical intervention for 24 knees (group 2). All lesions were Outerbridge grade III or IV with a mean size of 3.6 ± 1.3 cm2. The mean follow-up time was 25.7 months. Visual analog scale (VAS), Lysholm knee score, and Tegner activity scale were the instruments used to evaluate the clinical status. Magnetic resonance observation of cartilage repair tissue (MOCART) system was used to analyze the characteristics of repair tissue.Better VAS and Lysholm scores were detected in group 1 at 12 and 24 months (P = .019 and P = .025). According to the Tegner activity scale, group 1 had also better activity level at the end of 24 months after surgery (P = .020). The mean time from surgery to return to nonimpact sports activities was 7.8 months in group 1, whereas it was 9.2 months in group 2 (P = .013). Complete repair with the filling of the defect was achieved in 7 (36.8%) of the knees in group 1, whereas it was 4 (16.6%) of the knees in group 2 according to the MOCART system at 24 months.Single-stage regenerative cartilage surgery using hyaluronic acid-based cell-free scaffold in combination with microfracture for focal osteochondral lesions of the knee revealed promising clinical outcomes at 24 months of follow-up, but the clinical significance of the differences seen is simply not known.Level III, retrospective comparative study.",1
1068,https://openalex.org/W1977792312,https://doi.org/10.1177/0363546514554190,Mesenchymal Stem Cell Implantation in Osteoarthritic Knees,"Background: The cell-based tissue engineering approach that uses mesenchymal stem cells (MSCs) has addressed the issue of articular cartilage repair in osteoarthritic (OA) knees. However, to improve outcomes, an advanced surgical procedure with tissue-engineered scaffolds may be needed to treat patients with large cartilage lesions. Purpose: To investigate the clinical and second-look arthroscopic outcomes of the implantation of MSCs loaded in fibrin glue as a scaffold in patients with OA knees and to compare these outcomes with those of MSC implantation without a scaffold. Study Design: Cohort study; Level of evidence, 3. Methods: This study retrospectively evaluated 54 patients (56 knees) who were examined with second-look arthroscopy after MSC implantation for cartilage lesions in their OA knees. Patients were divided into 2 groups: 37 patients (39 knees) were treated with MSC implantation without a scaffold (group 1), and 17 patients (17 knees) underwent implantation of MSCs loaded in fibrin glue as a scaffold (group 2). Clinical outcomes were evaluated according to the International Knee Documentation Committee (IKDC) score and the Tegner activity scale, and cartilage repair was assessed with the International Cartilage Repair Society (ICRS) grade. Statistical analyses were performed to identify various prognostic factors associated with the clinical and second-look arthroscopic outcomes. Results: At final follow-up (mean, 28.6 months; range, 24-34 months), the mean IKDC score and Tegner activity scale in each group significantly improved: group 1, from 38.1 ± 7.7 to 62.0 ± 11.7 (IKDC) and from 2.5 ± 0.9 to 3.5 ± 0.8 (Tegner); group 2, from 36.1 ± 6.2 to 64.4 ± 11.5 (IKDC) and from 2.2 ± 0.8 to 3.8 ± 0.8 (Tegner) ( P &lt; .001 for all). According to the overall ICRS cartilage repair grades, 9 of the 39 lesions (23%) in group 1 and 12 of the 17 lesions (58%) in group 2 achieved a grade of I or II. There was a significant difference in ICRS grades between the groups ( P = .028). Overweight (body mass index ≥ 27.5 kg/m 2 ) and large lesion size (≥5.7 cm 2 ) were significant predictors of poor clinical and arthroscopic outcomes in group 1 ( P &lt; .05 for both). There was a similar trend in group 2, but the differences were not significant, possibly owing to the smaller sample size. Conclusion: Clinical and arthroscopic outcomes of MSC implantation were encouraging for OA knees in both groups, although there were no significant differences in outcome scores between groups. However, at second-look arthroscopy, there were better ICRS grades in group 2.",1
659,https://openalex.org/W2975596940,https://doi.org/10.1007/s00167-019-05729-3,Implantation of mesenchymal stem cells in combination with allogenic cartilage improves cartilage regeneration and clinical outcomes in patients with concomitant high tibial osteotomy,"Purpose This study aimed to compare the clinical, radiological, and second-look arthroscopic outcomes of implanting mesenchymal stem cells (MSCs) alone and together with allogenic cartilage in patients treated with concomitant high tibial oteotomy (HTO) for varus knee osteoarthritis. Methods Eighty patients treated with cartilage repair procedures and concomitant HTO were prospectively randomized into two groups: MSC implantation (MSC group), and MSC implantation with allogenic cartilage (MSC-AC group). Clinical outcomes were evaluated using the Lysholm Score and the Knee Injury and Osteoarthritis Outcome Score (KOOS) at preoperative and every follow-up visit. Radiological outcomes were evaluated by measuring the femorotibial angle and posterior tibial slope. During second-look arthroscopy, cartilage regeneration was evaluated according to the Kanamiya grade. Results Clinical outcomes at the second-look arthroscopy (mean 12.5 months [MSC group] and 12.4 months [MSC-AC group]) improved significantly in both groups (P \textbackslashtextless 0.001 for all). Clinical outcomes from the second-look arthroscopy to the final follow-up (mean 27.3 months [MSC group] and 27.8 months [MSC-AC group]) improved further only in the MSC-AC group (P \textbackslashtextless 0.05 for all). Overall, the Kanamiya grades, which were significantly correlated with clinical outcomes, were significantly higher in the MSC-AC group than in the MSC group. Radiological outcomes at final follow-up revealed improved knee joint alignments relative to preoperative conditions but without significant correlation between clinical outcomes and Kanamiya grade in either group (n.s. for all). Conclusion Implantation of MSCs with allogenic cartilage is superior to implantation of MSCs alone in cartilage regeneration accompanied with better clinical outcomes.",1
244,https://openalex.org/W3123375127,https://doi.org/10.1007/s00167-021-06450-w,Allogenic umbilical cord blood-derived mesenchymal stromal cell implantation was superior to bone marrow aspirate concentrate augmentation for cartilage regeneration despite similar clinical outcomes,"Purpose The aim of this study was to compare clinical and second-look arthroscopic outcomes between bone marrow aspirate concentrate (BMAC) augmentation and human umbilical cord blood-derived mesenchymal stromal cell (hUCB-MSC) implantation in high tibial osteotomy (HTO) for medial compartmental knee osteoarthritis and identify the relationship between articular cartilage regeneration and HTO outcomes. Methods A total of 176 patients who underwent HTO combined with a BMAC or hUCB-MSC procedure for medial compartment osteoarthritis (Kellgren-Lawrence grade 3) between June 2014 and September 2018 with a minimum follow-up of 2 years were reviewed. After HTO, multiple holes were drilled at cartilage defect sites of the medial femoral condyle (MFC), and then prepared BMAC or hUCB-MSCs in combination with scaffolds were implanted in the MFC lesions. After propensity score matching based on sex, age, body mass index, and lesion size, 55 patients in each of the BMAC and hUCB-MSC groups were successfully matched. Second-look arthroscopic findings were assessed according to the International Cartilage Repair Society (ICRS) Cartilage Repair Assessment (CRA) grading system and Koshino staging system. Clinical outcomes were evaluated using the International Knee Documentation Committee (IKDC), Knee Injury and Osteoarthritis Outcome Score (KOOS), Short-Form 36 (SF-36), and Tegner activity scores. Results At a mean follow-up of 33 months, clinical outcomes including IKDC, KOOS, SF-36, and Tegner activity scores were significantly improved in both groups (p \textbackslashtextless 0.001); however, there were no differences between the two groups. Second-look arthroscopy showed better healing of regenerated cartilage in the hUCB-MSC group (Grade I [4 cases, 9.1%]; Grade II [30 cases, 68.2%]; Grade III [11 cases, 22.7%]) than in the BMAC group (Grade I [1 case, 2.7%]; Grade II [20 cases, 54.1%]; Grade III [11 cases, 29.7%]; Grade IV [5 cases, 13.5%]) according to the ICRS CRA grading system (p = 0.040). There was no significant intergroup difference in terms of defect coverage based on the Koshino staging system (p = 0.057). Moreover, ICRS CRA grades at second-look arthroscopy were significantly correlated with clinical outcomes (r = - 0.337; p = 0.002). Conclusion There were no significant differences in the clinical outcomes between the two groups. Both treatments provided similar, reliable outcomes in terms of pain relief, functional scores, and quality of life at a mean follow-up of 33 months. However, hUCB-MSC implantation was more effective than BMAC augmentation for articular cartilage regeneration.",1
478,https://openalex.org/W3036832385,https://doi.org/10.1007/s00167-020-06099-x,Bone marrow aspirate concentration provided better results in cartilage regeneration to microfracture in knee of osteoarthritic patients,"PURPOSE: To determine whether microfracture with bone marrow aspirate concentrate (BMAC) improves functional outcome and cartilage regeneration better than microfracture alone in patients undergoing high tibial osteotomy (HTO) for medial unicompartmental osteoarthritis (OA). METHODS: Among 436 patients treated with HTO for medial unicompartmental OA with varus deformity between 2010 and 2016, clinical outcomes were retrospectively compared between the microfracture alone group (group I, 43 cases) and microfracture with BMAC augmentation group (group II, 48 cases). Of these, 64 patients underwent a second-look arthroscopic assessment. Clinical outcomes were compared based on the Knee Society Score (KSS), International Knee Documentation Committee (IKDC) subjective score, and Western Ontario and McMaster Universities Arthritis Index (WOMAC). Cartilage regeneration was assessed according to Koshino's staging system and the International Cartilage Repair Society (ICRS) Cartilage Repair Assessment (CRA) grading system. RESULTS: At the last follow-up, there were no significant intergroup differences in terms of KSS for pain and function (p \textbackslashtextgreater 0.05). Moreover, WOMAC scores were similar between the two groups (p \textbackslashtextgreater 0.05). Regarding second-look arthroscopy findings, according to Koshino's staging system, there was no significant intergroup difference in terms of defect coverage (p = 0.187). However, group II showed a significantly better mean CRA score than group I (p = 0.035). CONCLUSION: There were no significant differences in clinical outcomes and cartilage regeneration between the groups. However, the CRA score was significantly higher with BMAC augmentation and microfracture than microfracture alone. Therefore, BMAC augmentation had a synergistic effect for a better cartilage regeneration, although studies with a longer follow-up might help to confirm whether microfracture with BMAC augmentation would ensure better clinical outcomes than microfracture alone for the treatment of knee OA.",1
835,https://openalex.org/W2594035741,https://doi.org/10.1177/0363546517691942,Collagen Augmentation Improves the Quality of Cartilage Repair After Microfracture in Patients Undergoing High Tibial Osteotomy: A Randomized Controlled Trial,"Background: The quality of cartilage repair after marrow stimulation is unpredictable. To overcome the shortcomings of the microfracture technique, various augmentation techniques have been developed. However, their efficacies remain unclear. Hypothesis: The quality of cartilage repair and clinical outcomes would be superior in patients undergoing high tibial osteotomy (HTO) with microfracture and collagen augmentation compared to those undergoing HTO with microfracture alone without collagen augmentation for the treatment of medial compartment osteoarthritis (OA) of the knee. Study Design: Randomized controlled trial; Level of evidence, 2. Methods: Twenty-eight patients undergoing HTO were randomized into 2 groups: microfracture alone (group 1, n = 14) or microfracture with collagen augmentation (group 2, n = 14). At 1 year postoperatively, second-look arthroscopic surgery and biopsy of repaired cartilage were performed at the time of HTO plate removal. Biopsy specimens were graded using the International Cartilage Repair Society Visual Assessment Scale II (ICRS II). In addition, imaging outcomes in terms of the magnetic resonance observation of cartilage repair tissue (MOCART) score were assessed based on magnetic resonance imaging (MRI). Finally, clinical outcomes in terms of the visual analog scale (VAS) for pain score, Knee Injury and Osteoarthritis Outcome Score (KOOS), International Knee Documentation Committee (IKDC) score, and Tegner activity scale score were evaluated. Results: The mean ICRS II score in group 2 was significantly higher than that in group 1 (1053.2 vs 885.4, respectively; P = .002). Group 2 showed greater improvement in tissue morphology, cell morphology, surface architecture, middle/deep zone assessment, and overall assessment compared with group 1 ( P &lt; .050 for all comparisons). Imaging outcomes based on the MOCART score were superior in group 2 compared to those in group 1 on MRI at 1 year postoperatively (64.6 vs 45.4, respectively; P = .001). The degree of defect repair was better in group 2 than in group 1 ( P = .040). Clinical outcomes in terms of the VAS for pain score, KOOS, IKDC score, and Tegner activity scale score were improved in both groups without between-group differences ( P &gt; .100 for all comparisons). Conclusion: The quality of cartilage repair after microfracture with collagen augmentation was superior to that after microfracture alone in patients undergoing HTO. Clinical results after 1 year did not reflect this difference in tissue repair. Therefore, a longer follow-up of the cohort is needed to answer this question.",1
1138,https://openalex.org/W2495317981,https://doi.org/10.1177/0363546516656179,One-Stage Cartilage Repair Using a Hyaluronic Acid–Based Scaffold With Activated Bone Marrow–Derived Mesenchymal Stem Cells Compared With Microfracture,"Background: Articular cartilage injury is frequently encountered, yet treatment options capable of providing durable cartilage repair are limited. Purpose: To investigate the medium-term clinical outcomes of cartilage repair using a 1-stage technique of a hyaluronic acid–based scaffold with activated bone marrow aspirate concentrate (HA-BMAC) and compare results with those of microfracture. A secondary aim of this study was to identify specific patient demographic factors and cartilage lesion characteristics that are associated with superior outcomes. Study Design: Cohort study; Level of evidence, 2. Methods: Fifty physically active patients (mean age, 45 years) with grade IV cartilage injury of the knee (lesion size, 1.5-24 cm 2 ) were treated with HA-BMAC or microfracture and were observed prospectively for 5 years. Patients were placed into the HA-BMAC group if the health insurance policy of the treating institution supported this option; otherwise, they were placed into the microfracture group. Objective and subjective clinical assessment tools were used preoperatively and at 2 and 5 years postoperatively to compare treatment outcomes. Results: Significant improvements in outcome scores were achieved in both treatment groups at 2 years ( P &lt; .001). In the microfracture group, 64% were classified as normal or nearly normal according to the International Knee Documentation Committee (IKDC) objective score at 2 years, compared with 100% of those treated with HA-BMAC ( P &lt; .001). Normal or nearly normal objective assessments in the microfracture group declined significantly after 5 years to 28% of patients ( P = .004). All patients treated with HA-BMAC maintained improvement at 5 years according to Lysholm, Tegner, IKDC objective, and IKDC subjective scores. Tegner, IKDC objective, and Knee injury and Osteoarthritis Outcome Score (KOOS) assessments demonstrated higher scores in the HA-BMAC treatment group compared with microfracture at 5 years. Lysholm and IKDC subjective scores were similar between treatment groups at 5 years. Poorer outcomes in the microfracture group were demonstrated in cases of lesions larger than 4 cm 2 and nonsolitary lesions. Age greater than 45 years, large size of lesion, and treatment of multiple lesions were not associated with poorer outcome in patients treated with HA-BMAC. Conclusion: Repair of chondral injury using a hyaluronic acid–based scaffold with activated bone marrow aspirate concentrate provides better clinical outcomes and more durable cartilage repair at medium-term follow-up compared with microfracture. Positive short-term clinical outcomes can be achieved with either microfracture or HA-BMAC. Cartilage repair using HA-BMAC leads to successful medium-term outcomes independent of age or lesion size.",1
753,https://openalex.org/W3005972976,https://doi.org/10.1177/1947603520903418,Synthetic Biphasic Scaffolds versus Microfracture for Articular Cartilage Defects of the Knee: A Retrospective Comparative Study,"Objective The purpose of this study was to compare the results of a biphasic synthetic scaffold (TruFit, Smith &amp; Nephew) to microfracture for the treatment of knee cartilage defects and identify patient- and lesion-specific factors that influence outcomes. Design Prospectively collected data from 132 patients (mean age, 41.8 years; 69% male) with isolated chondral or osteochondral femoral defects treated with biphasic synthetic scaffolds ( n = 66) or microfracture ( n = 66) were reviewed. Clinical outcomes were evaluated longitudinally over 5 years with the Short Form–36 (SF-36), Activities of Daily Living of the Knee Outcome Survey (KOS-ADL), International Knee Documentation Committee (IKDC), and Marx Activity Scale. Cartilage-sensitive magnetic resonance imaging (MRI) was performed to evaluate osseous integration and cartilage fill in a subgroup of patients. Multivariate regression analysis was used to identify predictors of clinical outcomes within the scaffold group. Results Both groups demonstrated clinically significant improvements in knee clinical scores over 5 years ( P &lt; 0.01). There were no significant differences in KOS-ADL and IKDC scores between groups up to 5 years postoperatively. Marx activity level scores in the microfracture group declined over time, while significant improvements in activity level scores were observed in the scaffold group over 5 years ( P &lt; 0.01). Good-quality tissue fill and cartilage isointensity were more often observed in the scaffold group compared with the microfracture group, particularly with longer time intervals. Increasing age, high body mass index, prior microfracture, and traumatic etiology were predictors for inferior outcomes in the scaffold group. Conclusions Activity level and MRI appearance following treatment of cartilage lesions with the biphasic synthetic scaffold were superior to microfracture over time in this nonrandomized, retrospective comparison.",1
